text,label
"You have won a prize!",1
"Call me at 5pm",0
"Congratulations, you won!",1
"Let’s have dinner tonight.",0
"Free entry in a contest",1
"Are you coming to the party?",0
"Winner! Claim your reward",1
"Meeting at 3pm tomorrow",0
"Exclusive offer just for you",1
"Let's catch up soon",0
"Urgent! Update your account details",1
"Can we meet for lunch?",0
"Claim your free voucher now",1
"Don't forget the meeting today",0
"Limited time discount on products",1
"Happy birthday! Enjoy your day",0
"Congratulations, you won a gift card",1
"Are you available this weekend?",0
"Your loan is approved",1
"See you at the conference",0
"Special promotion just for you",1
"How was your day?",0
"Free tickets for concert",1
"Call me when you're free",0
"Win a new car by entering",1
"Let's go hiking tomorrow",0
"Get cheap meds online",1
"Did you finish the report?",0
"Exclusive deal inside",1
"Where is the party tonight?",0
"Congratulations! You've won cash",1
"Pick me up at 6",0
"Limited offer: Buy 1 get 1 free",1
"Can you send me the file?",0
"Winner! Claim your prize today",1
"Don't forget your appointment",0
"Act now and get 50% off",1
"Are you joining the team call?",0
"Earn money fast from home",1
"How's your family?",0
"Your account has been suspended",1
"Let's grab coffee later",0
"Free subscription for 1 year",1
"Did you see the game?",0
"Exclusive access to new product",1
"Can you review the document?",0
"Win a holiday trip now",1
"Let's schedule a meeting",0
"Get rich quick scheme",1
"Are you coming to the party?",0
"Claim your prize by clicking here",1
"Don't forget the deadline",0
"Special offer ends soon",1
"How was the movie?",0
"Urgent: Confirm your payment",1
"Are you available for call?",0
"Free gift card for you",1
"Meeting rescheduled to tomorrow",0
"Winner announcement today",1
"Please send the report",0
"Limited time offer on gadgets",1
"Let's have lunch together",0
"Earn cash rewards now",1
"Did you finish your homework?",0
"Your prize is waiting",1
"Are you free this evening?",0
"Exclusive deal for loyal customers",1
"Please call me back",0
"Win big cash prizes",1
"Let's catch up this weekend",0
"Get 70% discount today",1
"Have you seen this?",0
"Free consultation available",1
"Are you attending the seminar?",0
"Claim your reward now",1
"How was your trip?",0
"Congratulations on your success",1
"Please review the presentation",0
"Limited time bonus offer",1
"Are you joining the webinar?",0
"Winner of the lucky draw",1
"Let's meet for coffee",0
"Get cash back instantly",1
"Did you receive my email?",0
"Your account has been credited",1
"Can you send the details?",0
"Exclusive free trial offer",1
"Let's finalize the project",0
"Win a brand new phone",1
"Are you available next week?",0
"Special bonus just for you",1
"Please confirm your attendance",0
"Get your prize money now",1
"Have a great day!",0
"Urgent: Your password has expired",1
"Let's discuss the project status",0
"Claim your free cruise trip",1
"When is the next meeting?",0
"You have won a shopping spree!",1
"Shall we go out for lunch?",0
"Free upgrade to premium account",1
"Do you have the notes from class?",0
"Act fast to claim your deal",1
"Looking forward to our meeting",0
"Last chance to win $1000",1
"Can you help me with this task?",0
"Exclusive VIP membership offer",1
"Let's plan a trip next month",0
"Your Amazon order has shipped",1
"Did you get my message?",0
"Get instant access now",1
"Reminder: Dentist appointment",0
"Double your money in 7 days",1
"Check out this funny video",0
"Limited seats available!",1
"Are we still on for dinner?",0
"Free Netflix for 3 months",1
"Please RSVP for the event",0
"Warning: Account compromised",1
"Let's go for a walk",0
"Win a luxury vacation today",1
"Did you book the tickets?",0
"Your iPhone is ready for pickup",1
"Can we talk later?",0
"Get $500 cashback instantly",1
"Don't forget your keys",0
"Final notice: Claim your prize",1
"How about a movie tonight?",0
"Your PayPal payment is due",1
"Let's meet at the café",0
"Exclusive discount for you",1
"Did you feed the cat?",0
"Your social media reward",1
"Can you pick up milk?",0
"Last day: 80% off sale",1
"Did you finish the assignment?",0
"Your flight is confirmed",1
"Let's carpool tomorrow",0
"Free $50 Amazon voucher",1
"Did you water the plants?",0
"Your bank statement is ready",1
"Let's go shopping this weekend",0
"Win backstage concert passes",1
"Can you fix the printer?",0
"Your tax refund is approved",1
"Let's watch the game together",0
"Free Bitcoin giveaway",1
"Did you lock the door?",0
"Your Uber ride is booked",1
"Let's bake cookies tonight",0
"Get a free iPhone today",1
"Did you call your mom?",0
"Your eBay bid won!",1
"Let's visit the museum",0
"Free $1000 Walmart gift card",1
"Did you walk the dog?",0
"Your LinkedIn connection request",1
"Let's go to the beach",0
"Win a year of free groceries",1
"Can you pass the salt?",0
"Your Spotify premium expired",1
"Let's try that new restaurant",0
"Free $200 Target coupon",1
"Did you take out the trash?",0
"Your Google Drive is full",1
"Let's play tennis tomorrow",0
"Win a MacBook Pro today",1
"Can you lend me a pen?",0
"Your Facebook friend request",1
"Let's go for a bike ride",0
"Free $300 Best Buy voucher",1
"Did you turn off the stove?",0
"Your Twitter verification",1
"Let's plan a movie night",0
"Win a Tesla Model 3",1
"Can you help me move?",0
"Your Instagram mention",1
"Let's have a picnic",0
"Free $400 Costco membership",1
"Did you set the alarm?",0
" find the python code",1
"find the java code",0
"find the php code",1
"find the .net code",0
"find the database",1
"find the linux",0




...
